Formula,REFERENCE: doi,PROPERTY: BCC,PROPERTY: FCC,PROPERTY: HCP,PROPERTY: B2,PROPERTY: Im,PROPERTY: Multiphase,PROPERTY: Not_HEA,PROPERTY: Density (gm/cm^3),PROPERTY: RM_Density (gm/cm^3),PROPERTY: Vickers (HV),PROPERTY: Yield (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Modulus (GPa),PROPERTY: RM_Modulus (GPa)
AlCoCrCuFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.1,,1005,,15,,
AlCoCrCuFeNiTi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.6,,1234,,9,,174
AlCoCrCuFeNiV,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.9,,1469,,16,,175
Al1.3CoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.8,470,,,,,178
Al1.5CoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.6,506,,,,133,174
Al1.8CoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.4,650,,,,,170
Al2CoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.3,560,1620,,,,167
Al2.3CoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.1,600,,,,,163
Al2.5CoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6,620,,,,,161
Al2.8CoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.8,650,,,,,157
Al3CoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.7,640,,,,,153
Al0.5B0.2CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.7,415,,,,,
Al0.5B0.6CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.7,505,,,,,
Al0.5BCoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.8,736,,,,,
Al0.5CoCrCu0.5FeNiTi0.5,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.1,,1580,2389,17,161,192
Al0.5CoCrCuFeNiTi0.2,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.5,272,,,,,191
Al0.5CoCrCuFeNiTi0.4,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,321,,,,,188
Al0.5CoCrCuFeNiTi0.6,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.2,458,,,,,186
Al0.5CoCrCuFeNiTi0.8,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.1,590,,,,,184
Al0.5CoCrCuFeNiTi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,636,,,,,
Al0.5CoCrCuFeNiTi1.2,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.9,646,,,,,
Al0.5CoCrCuFeNiTi1.4,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.8,664,,,,,
Al0.5CoCrCuFeNiTi1.6,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.7,657,,,,,
Al0.5CoCrCuFeNiTi1.8,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.6,667,,,,,
Al0.5CoCrCuFeNiTi2,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.5,696,,,,,
Al0.5CoCrCuFeNiV0.2,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.6,204,,,,,191
Al0.5CoCrCuFeNiV0.4,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.5,231,,,,,189
Al0.5CoCrCuFeNiV0.6,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.5,328,,,,,
Al0.5CoCrCuFeNiV0.8,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.4,447,,,,,
Al0.5CoCrCuFeNiV1.0,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.4,639,,,,,
Al0.5CoCrCuFeNiV1.2,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,579,,,,,182
Al0.5CoCrCuFeNiV1.4,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,577,,,,,180
Al0.5CoCrCuFeNiV1.6,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.2,594,,,,,179
Al0.5CoCrCuFeNiV1.8,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.2,597,,,,,177
Al0.5CoCrCuFeNiV2.0,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.2,587,,,,,176
Al0.75CoCrCu0.25FeNiTi0.5,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.8,,1900,2697,12,164,189
AlCoCrCuNiTi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.4,,,1495,8,36,167
AlCoCrCuNiTiY0.5,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,6.1,,,1025,3,36,
AlCoCrCuNiTiY0.8,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,5.9,,,1325,5,38,
AlCoCrCuNiTiY,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,5.8,,,1192,4,37,
AlCoFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.6,456,964,,,,173
AlCoFeNiTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.2,790,,,,,143
CoCuFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.6,,,480,15,,188
CoCuFeNiSn0.02,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.6,,,548,17,,187
CoCuFeNiSn0.04,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.6,,,594,18,,
CoCuFeNiSn0.05,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.6,,,615,20,,
CoCuFeNiSn0.07,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.6,,,632,19,,
CoCuFeNiSn0.1,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.6,,,602,5,,
CoCuFeNiSn0.2,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.5,,,261,2,,
CoCuFeNiSn0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.3,,,,,,
AlCoCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7,536,,,,,164
AlCoCuFeNbNi,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,7.4,578,,,,,
AlCoCuFeNiSi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,5.9,682,,,,,145
AlCoCuFeNiTi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.5,626,,,,,156
AlCoCuFeNiZr,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.9,472,,,,,
CoCuFeMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.4,208,,478,14,,190
CoCuFeMnNiSn0.03,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.4,192,,465,18,,
CoCuFeMnNiSn0.05,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.4,205,,475,12,,
CoCuFeMnNiSn0.08,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.3,219,,425,7,,
CoCuFeMnNiSn0.10,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.3,253,,470,6,,
CoCuFeMnNiSn0.20,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.3,319,,368,2,,
CrCuFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,8.1,296,,,,,204
CrCuFeMoNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.7,263,,,,,230
AlCrCuFeNi0.6,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.6,496,,,,,176
AlCrCuFeNi0.8,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.7,486,,,,,177
AlCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.8,495,,,,,178
AlCrCuFeNi1.2,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.8,407,,,,,179
AlCrCuFeNi1.4,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.9,367,,,,,180
AlCrCuFeNi2,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.1,,,,,,182
AlCrCuFeNiTi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.3,,,1219,,,
Al0.2CrCuFeNi2,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,,,,,,199
Al0.4CrCuFeNi2,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.8,,,,,,194
Al0.6CrCuFeNi2,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.5,,,,,,190
Al0.8CrCuFeNi2,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,,,,,,186
Al1.2CrCuFeNi2,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.9,,,,,,178
AlCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.8,342,,,,,178
Al1.125CuFe0.75NiTi1.125,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.9,516,980,1326,7,145,140
Al22.5Cu20Fe15Ni20Ti22.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.9,516,980,1326,7,145,140
AlCuFeNiTi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.1,516,1074,1617,8,146,145
AlCuNiTi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.7,537,300,536,< 1,108,129
AlLi0.5MgSn0.2Zn0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,2.9,,546,546,,,
AlLiMg0.5ScTi1.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,2.7,591,,,,,69
AlLiMgSnZn,10.1016/j.dib.2018.11.111,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,3.9,,600,615,1,,
Al8Li0.5Mg0.5Sn0.5Zn0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,3,,415,836,16,,
Al8Cu0.5Li0.5Mg0.5Zn0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,2.9,,488,879,17,,
AlCu0.2Li0.5MgZn0.5,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,2.7,,,,,,
AlCu0.5Li0.5MgSn0.2,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,3,,,,,,
AlCr0.5NbTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.6,,1300,1430,< 1,,124
AlCrNbTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,5.8,,1550,1570,< 1,,
AlCr1.5NbTiV,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,5.9,,1700,1700,< 1,,
Al0.4Hf0.6NbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9.1,500,1841,2269,10,,110
Al0.3HfNbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.5,9.6,353,1188,,50,63,108
Al0.5HfNbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.34,9.3,396,1302,,46,97,107
Al0.75HfNbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.3,9.1,427,1415,,30,102,105
AlMo0.5NbTa0.5TiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.1,591,2000,2368,10,,123
Al0.25MoNbTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.1,460,1250,,13,,164
Al0.5MoNbTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.8,487,1625,,11,,158
Al0.75MoNbTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.6,517,1260,,8,,154
AlMoNbTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.4,537,1375,,3,,150
Al0.25NbTaTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.8,,1330,,,92,130
Al0.5NbTaTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.5,,1014,,,97,127
AlNbTaTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.9,,993,,,101,121
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.7,500,1965,2061,5,,110
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.6,530,2035,2105,5,,111
Al0.3NbTaTi1.4Zr1.3,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.1,490,1965,2054,5,,113
AlNb1.5Ta0.5Ti1.5Zr0.5,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.8,408,1280,1367,4,,106
AlNbTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.5,448,1020,1318,5,,105
AlNbTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.5,,1000,1280,5,,105
CrHfNbTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.2,464,1375,2130,3,112,
CrMo0.5NbTa0.5TiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,8,540,1595,2046,5,,
CrNbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.6,482,1298,,3,,
CrNbTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.6,418,1260,,6,,
FeMoNiTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.1,740,,,,,
Hf0.5Mo0.5NbTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.9,400,1178,,25,,
Hf0.5Mo0.5NbSi0.1TiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.7,442,1365,,28,,
Hf0.5Mo0.5NbSi0.3TiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.5,494,1428,,23,,
Hf0.5Mo0.5NbSi0.5TiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.2,524,1605,,23,,
Hf0.5Mo0.5NbSi0.7TiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,580,1604,,12,,
Hf0.5Mo0.5NbSi0.9TiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.8,640,1677,,9,,
Hf0.5Mo0.5NbTiZrC0.1,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.8,,1183,2139,38,,
Hf0.5Mo0.5NbTiZrC0.3,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.7,,1201,1965,33,,
HfMo0.25NbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.9,9.9,395,1112,,50,96,121
HfMo0.5NbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,9.9,480,1317,,50,102,130
HfMo0.75NbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,9.9,492,1373,,50,109,139
HfMoNbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,10,505,1512,,12,,147
HfMoNbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,9.9,505,1512,,12,115,147
HfMoTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.2,10.2,542,1600,,4,,155
HfMoNbZrTi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.7,,1803,1719,10,,139
HfNbSi0.5TiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.6,7.8,490,1399,1608,11,,
HfNbSi0.5TiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.8,7.5,464,1540,1643,17,,
HfNbTaZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11.1,365,1315,,,,109
Hf0.5Nb0.5Ta0.5Ti1.5Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.1,8.2,301,903,990,19,,107
HfNbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.9,9.9,335,1015,,50,85,111
HfNbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.7,9.9,295,1073,,50,55,111
HfNbTaTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9.9,390,929,,50,,111
HfNbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.1,388,1170,1463,30,128,
HfNbTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.4,,879,969,15,,92
MoNbTaV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10.7,504,1525,2400,21,,187
MoNbTaVW,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,12.4,536,1246,1270,2,,232
MoNbTaW,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,13.7,454,1058,1211,2,,258
MoNbTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,441,1200,,26,,170
Mo0.3NbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.7,,,1289,,42,,
Mo0.5NbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.8,,,1473,,32,,
Mo0.7NbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,,,1706,,32,,
MoNbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.1,,,1779,,32,,
Mo1.3NbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.3,,,1496,,30,,
Mo1.5NbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.4,,,1603,,20,,
Mo1.7NbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.5,,,1645,,15,,
Mo2NbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.6,,,1765,,12,,
MoNbTiV0.25Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,,1776,3893,30,,153
MoNbTiV0.50Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.2,,1647,3307,28,,152
MoNbTiV0.75Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.2,,1708,3929,29,,150
MoNbTiV1.0Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.1,,1786,3828,26,,149
MoNbTiV1.5Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.1,,1735,3300,20,,147
MoNbTiV2.0Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,,1538,3176,23,,146
MoNbTiV3.0Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.9,,1418,2508,24,,143
MoNbTiZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,,1592,3450,34,,155
NbTaTiV,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9.2,,1092,,,106,134
NbTaVW,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,12.9,492,1530,,12,,208
NbTaTiVW,10.1016/j.dib.2018.11.111,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,11.1,447,1420,,20,,
NbTiV0.3Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.5,,,866,,45,,
NbTiV0.3Mo0.1,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.6,,,932,,45,,
NbTiV0.3Mo0.3,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.8,,,1312,,50,,
NbTiV0.3Mo0.5,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.9,,,1301,,43,,
NbTiV0.3Mo0.7,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.1,,,1436,,27,,
NbTiV0.3Mo,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.3,,,1455,,25,,
NbTiV0.3Mo1.3,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.4,,,1603,,20,,
